分類,手指餅乾,咖啡,酒,開水,可可粉,雞蛋,麵粉,砂糖,牛奶,奶油,馬斯卡彭,巧克力
脆皮泡芙,0,0,0,65,0,3,119,100,383,99,0,0
脆皮泡芙,0,0,0,100,0,3,80,15,0,210,0,0
脆皮泡芙,0,0,0,45,0,1,35,0,0,25,0,0
脆皮泡芙,0,0,0,104,0,5,128,104,220,259,0,0
脆皮泡芙,0,0,0,80,0,4,70,40,100,40,0,0
脆皮泡芙,0,0,0,0,0,5,150,100,210,220,0,0
脆皮泡芙,0,0,0,0,0,2,100,25,85,78,0,0
脆皮泡芙,0,0,0,50,0,2,55,1,50,45,0,0
脆皮泡芙,0,0,0,115,0,2,70,22,0,300,0,0
脆皮泡芙,0,0,0,0,0,2,40,20,355,80,0,0
脆皮泡芙,0,0,0,50,0,5,100,95,200,125,0,0
脆皮泡芙,0,0,0,250,0,7,290,90,0,125,0,0
脆皮泡芙,0,0,0,100,0,4,120,53,250,100,0,0
脆皮泡芙,0,0,0,30,0,2,67,15,30,40,0,0
脆皮泡芙,0,0,0,0,0,2,70,15,135,255,0,0
脆皮泡芙,0,0,0,60,15,2,140,60,60,100,0,0
脆皮泡芙,0,0,0,125,0,4,275,140,125,220,0,0
脆皮泡芙,0,0,0,240,0,3,87,40,20,50,0,0
脆皮泡芙,0,0,0,160,0,4,110,20,0,80,0,0
脆皮泡芙,0,0,15,125,0,6,110,60,300,145,0,0
